lr,la,rho*,T*,B*,dB*_dT*
23,6,0,1.5137979679276732,-1.042358912813233,2.2623724464470394
23,6,0,1.5566144652549792,-0.94866304132768,2.116638489690612
23,6,0,1.5994309625822851,-0.8609132046631196,1.9843399587312476
23,6,0,1.6422474599095915,-0.7785692126784405,1.8638801700298857
23,6,0,1.6850639572368975,-0.7011542074033587,1.7538923718733697
23,6,0,1.7278804545642037,-0.6282455535234001,1.6532011780584996
23,6,0,1.7706969518915097,-0.5594675012300039,1.5607913334259769
23,6,0,1.813513449218816,-0.4944847437587395,1.4757822623723262
23,6,0,1.856329946546122,-0.4329972065145181,1.3974072096525656
23,6,0,1.899146443873428,-0.374735504690426,1.3249960513500505
23,6,0,1.9419629412007344,-0.3194571350136819,1.257961056868594
23,6,0,1.98477943852804,-0.2669432152798821,1.1957850373743737
23,6,0,2.0275959358553464,-0.216995685789354,1.1380114346706705
23,6,0,2.070412433182653,-0.1694348637854422,1.0842359960393753
23,6,0,2.1132289305099583,-0.124097379145004,1.034099751738615
23,6,0,2.156045427837265,-0.0808344282470294,0.9872830674904712
23,6,0,2.1988619251645707,-0.0395100824992551,0.9435005880632998
23,6,0,2.241678422491877,-1.4595852214346734e-14,0.9024969226763582
23,6,0,2.264095206716796,0.0200007345579653,0.882059710736449
23,6,0,2.332983172866588,0.0787067422260475,0.8233149122568052
23,6,0,2.40187113901638,0.1335606549745307,0.770102328292066
23,6,0,2.4707591051661724,0.1849198834478353,0.7217520392737338
23,6,0,2.539647071315964,0.2330991676215739,0.677692365799509
23,6,0,2.6085350374657565,0.278376779693583,0.6374330894863929
23,6,0,2.6774230036155484,0.3209996418423642,0.60055192266736
23,6,0,2.7463109697653407,0.3611875393713025,0.5666835277303226
23,6,0,2.8151989359151326,0.3991368568148521,0.5355105516736395
23,6,0,2.884086902064925,0.4350235201609636,0.5067562642018506
23,6,0,2.9529748682147168,0.4690056289596022,0.4801784799010924
23,6,0,3.021862834364509,0.5012256336929215,0.45556451486425
23,6,0,3.090750800514301,0.5318122282017417,0.4327269814148046
23,6,0,3.1596387666640933,0.560881970599126,0.4115002655195027
23,6,0,3.2285267328138856,0.5885406673207841,0.3917375631540408
23,6,0,3.2974146989636774,0.6148845897293406,0.373308376548202
23,6,0,3.3663026651134693,0.6400015070443391,0.3560963905582301
23,6,0,3.4351906312632616,0.663971642182755,0.339997664637268
23,6,0,3.504078597413054,0.6868684307203274,0.3249190879394253
23,6,0,3.572966563562846,0.70875919856473,0.3107770547009457
23,6,0,3.6418545297126377,0.7297058004572642,0.2974963247357756
23,6,0,3.71074249586243,0.7497652424306324,0.2850090400718011
23,6,0,3.7796304620122223,0.7689899934818647,0.2732538737563068
23,6,0,3.848518428162014,0.7874285822704459,0.2621752909201857
23,6,0,3.9174063943118065,0.805125821919955,0.2517229055013252
23,6,0,3.9862943604615984,0.8221232616195384,0.2418509187379842
23,6,0,4.055182326611391,0.8384594210614064,0.2325176277705356
23,6,0,4.124070292761183,0.8541700846870846,0.2236849945275974
23,6,0,4.192958258910975,0.8692885284995535,0.2153182665940766
23,6,0,4.261846225060767,0.8838457198486632,0.2073856430228362
23,6,0,4.304464687311374,0.8925834258266689,0.2026825365033857
23,6,0,4.8258155093039,0.985204859005434,0.1555355771829033
23,6,0,5.347166331296425,1.0571670138323053,0.1223578271359452
23,6,0,5.86851715328895,1.1143416537531503,0.0981863920097026
23,6,0,6.389867975281476,1.1605928658533025,0.0800735434307003
23,6,0,6.911218797274001,1.1985642088848671,0.0661805538075159
23,6,0,7.432569619266527,1.230123036209001,0.0553132143308252
23,6,0,7.953920441259052,1.2566243618698614,0.0466692051098991
23,6,0,8.475271263251578,1.2790741566338422,0.0396937363534027
23,6,0,8.996622085244102,1.2982340924453402,0.0339935384041889
23,6,0,9.51797290723663,1.3146909584907664,0.029283746292039
23,6,0,10.039323729229151,1.3289035751086298,0.0253540621335882
23,6,0,10.56067455122168,1.341235593897317,0.0220466031453191
23,6,0,11.082025373214204,1.351978667701321,0.0192410462784373
23,6,0,11.603376195206728,1.361369220324019,0.0168444501913666
23,6,0,12.124727017199255,1.369600756603029,0.0147841466145315
23,6,0,12.64607783919178,1.376833067974521,0.0130026887599962
23,6,0,13.167428661184308,1.3831991210511208,0.0114542047640717
23,6,0,13.68877948317683,1.388810408312644,0.0101017275087673
23,6,0,14.210130305169358,1.3937610207897042,0.0089152136963598
23,6,0,14.731481127161882,1.3981308536018162,0.0078700565423809
23,6,0,15.252831949154404,1.4019881578359072,0.0069459566890376
23,6,0,15.774182771146933,1.4053915057985429,0.0061260562721633
23,6,0,16.295533593139456,1.408391454920127,0.0053962684994078
23,6,0,16.816884415131984,1.4110317979805642,0.0047447540144693
23,6,0,17.338235237124508,1.4133506697402116,0.0041615085451725
23,6,0,17.859586059117035,1.4153813877624428,0.0036380356907494
23,6,0,18.38093688110956,1.4171531755488993,0.0031670854022563
23,6,0,18.902287703102083,1.4186917548583209,0.0027424435580281
23,6,0,19.42363852509461,1.420019840030419,0.0023587615758965
23,6,0,19.944989347087137,1.4211575516631036,0.0020114176239683
23,6,0,20.46634016907966,1.422122765252182,0.0016964029302841
23,6,0,20.987690991072185,1.4229314050444868,0.0014102281585433
23,6,0,21.50904181306471,1.4235976950336195,0.0011498459194528
23,6,0,22.030392635057236,1.4241343641562876,0.0009125863307735
23,6,0,22.55174345704976,1.4245528563210623,0.0006961031859687
23,6,0,23.073094279042287,1.42486344602559,0.0004983287913892
23,6,0,23.59444510103481,1.4250753949406307,0.0003174359208743
23,6,0,24.11579592302734,1.4251970864832653,0.0001518056410269
23,6,0,24.637146745019862,1.4252360894807068,1.3010426069826053e-17
23,6,0,24.88351821247006,1.425227741230528,-6.73002398831593e-05
23,6,0,25.12988967992026,1.425203143975445,-0.0001319251234391
23,6,0,25.37626114737046,1.4251629424395524,-0.0001939922399159
23,6,0,25.62263261482066,1.4251077597758215,-0.0002536131274172
23,6,0,25.86900408227086,1.4250381717665903,-0.000310893633977
23,6,0,26.115375549721055,1.4249547496307315,-0.0003659342540591
23,6,0,26.361747017171258,1.4248580330868137,-0.000418830442358
23,6,0,26.608118484621453,1.424748546037078,-0.0004696729066249
23,6,0,26.854489952071653,1.424626770273813,-0.0005185478810903
23,6,0,27.100861419521852,1.424493186955298,-0.0005655373819306
24,6,0,1.0,-2.890568843642993,6.199191264340046
24,6,0,1.0412563021198389,-2.647777347592019,5.586475542187951
24,6,0,1.082512604239678,-2.4284376437452355,5.0594551326247785
24,6,0,1.1237689063595169,-2.22934057717736,4.60292752693378
24,6,0,1.165025208479356,-2.0478346158754186,4.2049066927346965
24,6,0,1.2062815105991949,-1.8817103454982904,3.8558421802592897
24,6,0,1.247537812719034,-1.7291121272770662,3.548050154770246
24,6,0,1.2887941148388729,-1.5884701989120582,3.275293258496335
24,6,0,1.330050416958712,-1.458447938597178,3.0324665272355995
24,6,0,1.3713067190785508,-1.3379001084772608,2.8153599045562436
24,6,0,1.4125630211983895,-1.225839916697701,2.620476771446335
24,6,0,1.4538193233182288,-1.1214125379997806,2.4448939157078704
24,6,0,1.4950756254380675,-1.023873908996019,2.2861524892704024
24,6,0,1.5363319275579066,-0.9325732874117172,2.1421723710289764
24,6,0,1.5775882296777457,-0.846939138008329,2.0111843744102433
24,6,0,1.6188445317975848,-0.7664674535846656,1.8916761798278217
24,6,0,1.6601008339174237,-0.6907120962300277,1.7823489105374977
24,6,0,1.7013571360372626,-0.6192766701466245,1.6820820263326166
24,6,0,1.7426134381571017,-0.5518079224913971,1.5899047651674485
24,6,0,1.7838697402769408,-0.4879898953658158,1.5049727749459965
24,6,0,1.8251260423967797,-0.4275392424200064,1.426548886050787
24,6,0,1.8663823445166183,-0.3702010562290722,1.3539872077317323
24,6,0,1.9076386466364577,-0.3157454518890334,1.2867199082064862
24,6,0,1.9488949487562963,-0.2639645492514849,1.224246173614699
24,6,0,1.9901512508761352,-0.2146699204616197,1.1661229452517736
24,6,0,2.0314075529959745,-0.1676903064155645,1.1119571154173664
24,6,0,2.072663855115813,-0.1228698350202212,1.0613989253808749
24,6,0,2.1139201572356523,-0.080066211332711,1.0141363585745422
24,6,0,2.1551764593554914,-0.0391493342392754,0.9698903613058648
24,6,0,2.1964327614753305,-2.445529068131687e-12,0.9284107543939673
24,6,0,2.2183970890900837,0.0201596405018646,0.9073776428369644
24,6,0,2.285964109804485,0.0793898546997408,0.8468667846673088
24,6,0,2.3535311305188857,0.1347287182365166,0.7920675747424607
24,6,0,2.421098151233287,0.1865380924179162,0.7422866642142978
24,6,0,2.488665171947688,0.2351365420136701,0.6969326303870066
24,6,0,2.556232192662089,0.2808056510376846,0.6554985259510521
24,6,0,2.6237992133764902,0.3237951286857909,0.6175478150598346
24,6,0,2.691366234090891,0.3643272958873573,0.5827029656804318
24,6,0,2.7589332548052923,0.4026006711051609,0.5506361401995539
24,6,0,2.8265002755196935,0.4387930870915389,0.5210615547120784
24,6,0,2.8940672962340943,0.4730643024558005,0.4937291738477223
24,6,0,2.9616343169484955,0.5055582410189625,0.4684194809638158
24,6,0,3.0292013376628963,0.5364049047497327,0.4449391191732903
24,6,0,3.0967683583772976,0.5657220008457309,0.4231172414080661
24,6,0,3.164335379091699,0.5936163785933636,0.4028024407581564
24,6,0,3.2319023998061,0.6201852170830711,0.3838601580391232
24,6,0,3.299469420520501,0.6455171423828063,0.3661704836734418
24,6,0,3.3670364412349016,0.6696930976509763,0.349626286827885
24,6,0,3.434603461949303,0.6927872099068164,0.3341316173073574
24,6,0,3.502170482663704,0.7148673585121444,0.3196003357047383
24,6,0,3.569737503378106,0.7359960385990415,0.3059549353083062
24,6,0,3.637304524092506,0.7562306581697499,0.2931255257032891
24,6,0,3.7048715448069074,0.7756242269222838,0.2810489532030242
24,6,0,3.772438565521308,0.7942256114779618,0.2696680374640566
24,6,0,3.8400055862357094,0.8120800494284187,0.2589309070787768
24,6,0,3.90757260695011,0.8292294231169527,0.248790419751636
24,6,0,3.975139627664511,0.8457125686494286,0.239203654978707
24,6,0,4.042706648378912,0.8615655593823168,0.2301314690554737
24,6,0,4.1102736690933135,0.8768219484929818,0.2215381038164783
24,6,0,4.177840689807715,0.8915129417960678,0.2133908418219504
24,6,0,4.219619096705792,0.9003266896667544,0.2085631819326397
24,6,0,4.748506788530944,0.9966296388953796,0.1587758490195076
24,6,0,5.277394480356096,1.0709184958925957,0.1241189715156492
24,6,0,5.806282172181249,1.1296041493073856,0.099089105412658
24,6,0,6.335169864006401,1.1768551684396575,0.0804665970118342
24,6,0,6.864057555831554,1.2154955902639546,0.0662677059631842
24,6,0,7.392945247656707,1.2475041289565951,0.0552171647710839
24,6,0,7.92183293948186,1.2743067205896317,0.0464655679277598
24,6,0,8.45072063130701,1.2969557830238143,0.0394298950491258
24,6,0,8.979608323132165,1.316244148676748,0.0336995029725351
24,6,0,9.508496014957316,1.3327798059303055,0.0289786032712305
24,6,0,10.03738370678247,1.347036349023224,0.0250499099492514
24,6,0,10.566271398607622,1.3593877875071574,0.0217510085208265
24,6,0,11.095159090432771,1.3701331576279026,0.0189586076866792
24,6,0,11.624046782257928,1.3795141802004387,0.0165778096086265
24,6,0,12.15293447408308,1.387728189259785,0.0145346534733444
24,6,0,12.681822165908232,1.3949377518772563,0.0127708407239635
24,6,0,13.210709857733384,1.4012778767327676,0.0112399430511897
24,6,0,13.739597549558535,1.40686152749694,0.0099046361243313
24,6,0,14.268485241383688,1.411783872696826,0.0087346544331783
24,6,0,14.79737293320884,1.4161255931594194,0.007705260608666
24,6,0,15.326260625033994,1.4199554802068295,0.00679608680086
24,6,0,15.855148316859148,1.423332527852876,0.0059902484948705
24,6,0,16.384036008684298,1.4263075403079046,0.0052736601316175
24,6,0,16.912923700509452,1.428924511559671,0.0046345018193222
24,6,0,17.441811392334603,1.431221682537152,0.0040628002961295
24,6,0,17.970699084159754,1.4332324333832545,0.0035500970908876
24,6,0,18.49958677598491,1.434986017823569,0.0030891838136079
24,6,0,19.028474467810064,1.4365081397109152,0.002673889546669
24,6,0,19.557362159635215,1.437821489023446,0.0022989089814481
24,6,0,20.08624985146037,1.4389461597521522,0.0019596626488542
24,6,0,20.61513754328552,1.4398999707772484,0.0016521826002744
24,6,0,21.14402523511067,1.440698789575731,0.001373018399521
24,6,0,21.672912926935822,1.4413567777702458,0.001119159422023
24,6,0,22.201800618760977,1.4418866001571211,0.0008879703215322
24,6,0,22.730688310586128,1.4422996350239357,0.0006771371867018
24,6,0,23.259576002411283,1.4426060916402443,0.0004846224207116
24,6,0,23.78846369423643,1.442815165810562,0.0003086267737804
24,6,0,24.317351386061585,1.442935178294268,0.0001475572683142
24,6,0,24.84623907788674,1.4429736348857234,2.3635607360183997e-17
24,6,0,25.09470146866561,1.4429655012732208,-6.501780646345928e-05
24,6,0,25.343163859444477,1.4429415364601998,-0.0001274527859166
24,6,0,25.591626250223342,1.4429023679663542,-0.0001874184182617
24,6,0,25.84008864100221,1.4428486024443732,-0.000245022345174
24,6,0,26.08855103178108,1.442780800656041,-0.000300366718406
24,6,0,26.337013422559945,1.442699518645601,-0.0003535485243892
24,6,0,26.585475813338817,1.4426052819892567,-0.0004046598869439
24,6,0,26.833938204117683,1.4424986007838927,-0.0004537883497574
24,6,0,27.082400594896548,1.4423799441859153,-0.0005010171401486
24,6,0,27.330862985675417,1.442249780893673,-0.0005464254155124
25,6,0,1.0,-2.800044019724662,6.0837448139746515
25,6,0,1.0398361734407968,-2.5695642266795664,5.50208456615553
25,6,0,1.0796723468815936,-2.3606349609963084,4.999249719380973
25,6,0,1.1195085203223905,-2.1703969577830615,4.56167133911604
25,6,0,1.1593446937631873,-1.9964734358436231,4.178569744199823
25,6,0,1.199180867203984,-1.8368726992848403,3.84129582090413
25,6,0,1.239017040644781,-1.6899134325676497,3.542846399896354
25,6,0,1.2788532140855775,-1.5541666262489682,3.277503185711002
25,6,0,1.3186893875263743,-1.4284102552232092,3.040560598215308
25,6,0,1.3585255609671714,-1.311592980684566,2.8281184153169794
25,6,0,1.3983617344079682,-1.2028055652576377,2.6369222037323463
25,6,0,1.438197907848765,-1.10125755687761,2.4642393791974415
25,6,0,1.4780340812895618,-1.0062587788853203,2.307762103356351
25,6,0,1.5178702547303589,-0.917203701901071,2.165530587994988
25,6,0,1.5577064281711557,-0.8335590195365735,2.0358720566105717
25,6,0,1.5975426016119525,-0.7548531931440049,1.9173518198402384
25,6,0,1.637378775052749,-0.6806677091931115,1.8087337971865776
25,6,0,1.677214948493546,-0.6106298934558652,1.7089484596184137
25,6,0,1.7170511219343427,-0.5444068557093079,1.6170666427381872
25,6,0,1.7568872953751398,-0.4817002503321293,1.532278034804485
25,6,0,1.7967234688159364,-0.4222419399756342,1.4538734107296811
25,6,0,1.8365596422567336,-0.3657902814389383,1.381229885525817
25,6,0,1.87639581569753,-0.3121269302089867,1.3137986152606609
25,6,0,1.916231989138327,-0.2610541269739798,1.2510944925119316
25,6,0,1.956068162579124,-0.2123922743871233,1.1926874754070411
25,6,0,1.995904336019921,-0.1659779395377526,1.138195261111005
25,6,0,2.0357405094607177,-0.1216621281222551,1.0872770708986368
25,6,0,2.0755766829015143,-0.079308626547763,1.039628358320159
25,6,0,2.115412856342311,-0.0387927190796018,0.9949762871504924
25,6,0,2.155249029783108,-2.6618194456811565e-12,0.9530758538518672
25,6,0,2.176801520080939,0.0203070776694083,0.9314748492720596
25,6,0,2.2431644145378384,0.0800240057084257,0.8692800494753185
25,6,0,2.3095273089947383,0.1358130037899072,0.8129684492299009
25,6,0,2.375890203451638,0.1880401120040389,0.7618242387040786
25,6,0,2.4422530979085373,0.2370274572766567,0.7152370771931857
25,6,0,2.508615992365437,0.2830597026627874,0.672683995153517
25,6,0,2.5749788868223367,0.3263892179506998,0.6337148163848254
25,6,0,2.6413417812792366,0.3672406325604889,0.5979403394212501
25,6,0,2.707704675736136,0.4058144842796606,0.5650226972847103
25,6,0,2.7740675701930355,0.4422903723130538,0.5346674487248942
25,6,0,2.840430464649935,0.4768296080125248,0.5066170545798979
25,6,0,2.906793359106835,0.5095774845500979,0.4806454689058977
25,6,0,2.973156253563735,0.5406652202166755,0.4565536324511959
25,6,0,3.0395191480206343,0.5702116074968138,0.4341657005118397
25,6,0,3.1058820424775337,0.5983244375807012,0.4133258715663117
25,6,0,3.172244936934433,0.6251017684232117,0.3938957098131707
25,6,0,3.238607831391333,0.6506329892254799,0.375751875652428
25,6,0,3.304970725848233,0.6749997350610144,0.358784194618033
25,6,0,3.3713336203051325,0.6982767581218883,0.3428940083046147
25,6,0,3.437696514762032,0.720532498189695,0.3279927612066355
25,6,0,3.504059409218931,0.741829958962496,0.3140007856876357
25,6,0,3.5704223036758314,0.7622270305308554,0.3008462539689425
25,6,0,3.636785198132731,0.7817771022285265,0.2884642714154188
25,6,0,3.7031480925896303,0.8005294621370367,0.276796089766987
25,6,0,3.76951098704653,0.8185296860559548,0.2657884225259534
25,6,0,3.8358738815034297,0.8358199738858003,0.2553928476236207
25,6,0,3.9022367759603296,0.8524394612046584,0.245565284882582
25,6,0,3.968599670417229,0.8684244864157615,0.2362655377639402
25,6,0,4.034962564874129,0.883808853893285,0.2274568905211764
25,6,0,4.101325459331028,0.8986240040409076,0.2191057532380038
25,6,0,4.142338713924339,0.907508275877207,0.2141598341688832
